Temporal_scale;Lag_unit;Pipeline;Group;Pollutant;Outcome;Best_lag;Best_Rho;Best_P_value;N_at_best_lag;Lag0_Rho;Lag0_P_value;Lag0_is_best;Interpretation
Monthly;months;Station-based;Overall;NO2;Respiratory;0;0.4847937662091103;2.0119946151050678e-08;120;;;True;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;NO2;Cardiocirculatory;0;0.2805442120447313;0.0019117094176661;120;;;True;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;PM25;Respiratory;0;0.4577130495562704;1.4720479885226677e-07;120;;;True;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;PM25;Cardiocirculatory;0;0.2587273200939073;0.0043267537123328;120;;;True;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;NO2;Respiratory;0;0.5100240358987829;3.145759922321826e-05;60;;;True;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;NO2;Cardiocirculatory;0;0.3783656118607542;0.0028746787925753;60;;;True;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;PM25;Respiratory;0;0.4963598979353168;5.497674177762692e-05;60;;;True;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;PM25;Cardiocirculatory;0;0.4320268975228356;0.0005670424604195;60;;;True;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;NO2;Respiratory;0;0.456795101597182;0.0002437684182244;60;;;True;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;NO2;Cardiocirculatory;0;0.2545641490491571;0.0496654975054746;60;;;True;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;PM25;Respiratory;1;0.4204713297898074;0.0010152109097062;58;;;False;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;PM25;Cardiocirculatory;0;0.2110235787955175;0.1055591829272798;60;;;True;"weak positive association; not statistically significant"
Monthly;months;ModAria;Overall;NO2;Respiratory;0;0.3725301590535438;2.789638988029301e-05;120;0.3725301590535438;2.789638988029301e-05;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Overall;NO2;Cardiocirculatory;0;0.4309664694695818;8.938431903914261e-07;120;0.4309664694695818;8.938431903914261e-07;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Overall;PM25;Respiratory;0;0.4500059034083907;2.515052023456657e-07;120;0.4500059034083907;2.515052023456657e-07;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Overall;PM25;Cardiocirculatory;0;0.2183202767107847;0.0165968655405018;120;0.2183202767107847;0.0165968655405018;True;"weak positive association; statistically significant"
Monthly;months;ModAria;Industrial;NO2;Respiratory;0;0.3070981010489429;0.0169995311745666;60;0.3070981010489429;0.0169995311745666;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Industrial;NO2;Cardiocirculatory;0;0.3800050016749413;0.0027461918088383;60;0.3800050016749413;0.0027461918088383;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Industrial;PM25;Respiratory;0;0.4301651920320924;0.0006026513637952;60;0.4301651920320924;0.0006026513637952;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Industrial;PM25;Cardiocirculatory;0;0.3853677514060954;0.0023608207312718;60;0.3853677514060954;0.0023608207312718;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Agricultural;NO2;Respiratory;0;0.4647149582680177;0.0001835443502391;60;0.4647149582680177;0.0001835443502391;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Agricultural;NO2;Cardiocirculatory;0;0.2774890942478858;0.0318286684446803;60;0.2774890942478858;0.0318286684446803;True;"weak positive association; statistically significant"
Monthly;months;ModAria;Agricultural;PM25;Respiratory;0;0.4317016609874816;0.0005731223212215;60;0.4317016609874816;0.0005731223212215;True;"moderate positive association; statistically significant"
Monthly;months;ModAria;Agricultural;PM25;Cardiocirculatory;0;0.1261844559362757;0.336699615768896;60;0.1261844559362757;0.336699615768896;True;"weak positive association; not statistically significant"
Weekly;weeks;Station-based;Overall;NO2;Respiratory;1;0.3561328731307708;6.188881801703023e-17;518;;;False;"weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Overall;NO2;Cardiocirculatory;1;0.2088697262322874;1.624310574903374e-06;518;;;False;"weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Overall;PM25;Respiratory;1;0.3424362599474995;1.2140882220331538e-15;516;;;False;"weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Overall;PM25;Cardiocirculatory;1;0.2117186391639335;1.2174384990055834e-06;516;;;False;"weak positive association; statistically significant at p < 0.05"
