Temporal_scale;Lag_unit;Pipeline;Group;Pollutant;Outcome;Lag;Rho;P_value;N;Interpretation
Monthly;months;Station-based;Overall;NO2;Respiratory;0;0.4847937662091103;2.0119946151050678e-08;120;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;NO2;Respiratory;1;0.4448570682858294;5.640996513388795e-07;116;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;NO2;Respiratory;2;0.3203732969915449;0.0005737889086826;112;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;NO2;Respiratory;3;0.1090133069490527;0.2614087603704165;108;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Overall;NO2;Cardiocirculatory;0;0.2805442120447313;0.0019117094176661;120;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;NO2;Cardiocirculatory;1;0.1901117151143936;0.040946346357985;116;"very weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;NO2;Cardiocirculatory;2;0.1006863620332681;0.2908323933614434;112;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Overall;NO2;Cardiocirculatory;3;0.0218690903223858;0.8222495759648946;108;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Overall;PM25;Respiratory;0;0.4577130495562704;1.4720479885226677e-07;120;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;PM25;Respiratory;1;0.4267442710583333;1.780333411666459e-06;116;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;PM25;Respiratory;2;0.3043913732343168;0.0011022820507748;112;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;PM25;Respiratory;3;0.0653652681104575;0.5015132304600637;108;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Overall;PM25;Cardiocirculatory;0;0.2587273200939073;0.0043267537123328;120;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Overall;PM25;Cardiocirculatory;1;0.1629005286028566;0.0806057208637123;116;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Overall;PM25;Cardiocirculatory;2;0.1244722539658584;0.1910076017701245;112;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Overall;PM25;Cardiocirculatory;3;0.0157766498923922;0.8712601712687087;108;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Industrial;NO2;Respiratory;0;0.5100240358987829;3.145759922321826e-05;60;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;NO2;Respiratory;1;0.4584172888061102;0.0002959705305484;58;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;NO2;Respiratory;2;0.3053813425753892;0.0220971307476034;56;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;NO2;Respiratory;3;0.0910286467266541;0.5127057360131262;54;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Industrial;NO2;Cardiocirculatory;0;0.3783656118607542;0.0028746787925753;60;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;NO2;Cardiocirculatory;1;0.2940199336939298;0.025077035232439;58;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;NO2;Cardiocirculatory;2;0.2042790253764952;0.1309973049453623;56;"weak positive association; not statistically significant"
Monthly;months;Station-based;Industrial;NO2;Cardiocirculatory;3;0.07364488836638;0.5966432483488562;54;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Industrial;PM25;Respiratory;0;0.4963598979353168;5.497674177762692e-05;60;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;PM25;Respiratory;1;0.4472267513729021;0.0004321343907711;58;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;PM25;Respiratory;2;0.3229544058212824;0.0151947367604263;56;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;PM25;Respiratory;3;0.1151984142948072;0.4068267442832962;54;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Industrial;PM25;Cardiocirculatory;0;0.4320268975228356;0.0005670424604195;60;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;PM25;Cardiocirculatory;1;0.3944166731220991;0.0021866111657801;58;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Industrial;PM25;Cardiocirculatory;2;0.2504913102541198;0.062598264143106;56;"weak positive association; not statistically significant"
Monthly;months;Station-based;Industrial;PM25;Cardiocirculatory;3;0.0853107667831779;0.5396419490711708;54;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Agricultural;NO2;Respiratory;0;0.456795101597182;0.0002437684182244;60;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;NO2;Respiratory;1;0.4241258943258083;0.000907107926017;58;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;NO2;Respiratory;2;0.3152569639591495;0.0179496273692094;56;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;NO2;Respiratory;3;0.1136441628096335;0.4132283450459098;54;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Agricultural;NO2;Cardiocirculatory;0;0.2545641490491571;0.0496654975054746;60;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;NO2;Cardiocirculatory;1;0.1455731255815098;0.2755639819600498;58;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Agricultural;NO2;Cardiocirculatory;2;0.0466880854190811;0.7325857270357106;56;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Agricultural;NO2;Cardiocirculatory;3;0.0208515991914658;0.8810342913220944;54;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Agricultural;PM25;Respiratory;0;0.4109767984261844;0.001106822013453;60;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;PM25;Respiratory;1;0.4204713297898074;0.0010152109097062;58;"moderate positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;PM25;Respiratory;2;0.2953974501284798;0.0270860808418781;56;"weak positive association; statistically significant at p < 0.05"
Monthly;months;Station-based;Agricultural;PM25;Respiratory;3;0.0425832035754313;0.7598040822035388;54;"very weak positive association; not statistically significant"
Monthly;months;Station-based;Agricultural;PM25;Cardiocirculatory;0;0.2110235787955175;0.1055591829272798;60;"weak positive association; not statistically significant"
