Temporal_scale;Pipeline;Group;Pollutant;Outcome;Rho;P_value;N;Interpretation;Direction;Strength;Significance
Seasonal;Station-based;Overall;NO2;Respiratory;0.5024453024453025;0.0017916415964096;36;"moderate positive association; statistically significant at p < 0.05";positive;strong;statistically significant
Seasonal;Station-based;Overall;NO2;Cardiocirculatory;0.2038610038610038;0.2330370683479414;36;"weak positive association; not statistically significant";positive;weak;not statistically significant
Seasonal;Station-based;Overall;PM25;Respiratory;0.4458172458172458;0.0064288015548726;36;"moderate positive association; statistically significant at p < 0.05";positive;moderate;statistically significant
Seasonal;Station-based;Overall;PM25;Cardiocirculatory;0.1639639639639639;0.3392984400820844;36;"very weak positive association; not statistically significant";positive;weak;not statistically significant
Seasonal;Station-based;Industrial;NO2;Respiratory;0.3642930856553147;0.1372167161243322;18;"weak positive association; not statistically significant";positive;moderate;not statistically significant
Seasonal;Station-based;Industrial;NO2;Cardiocirculatory;0.3828689370485036;0.1168323230127677;18;"weak positive association; not statistically significant";positive;moderate;not statistically significant
Seasonal;Station-based;Industrial;PM25;Respiratory;0.2796697626418988;0.2610264770684415;18;"weak positive association; not statistically significant";positive;weak;not statistically significant
Seasonal;Station-based;Industrial;PM25;Cardiocirculatory;0.4282765737874097;0.0762009593524021;18;"moderate positive association; not statistically significant";positive;moderate;not statistically significant
Seasonal;Station-based;Agricultural;NO2;Respiratory;0.5830753353973168;0.0110924436195416;18;"moderate positive association; statistically significant at p < 0.05";positive;strong;statistically significant
Seasonal;Station-based;Agricultural;NO2;Cardiocirculatory;0.1186790505675954;0.6390493358496443;18;"very weak positive association; not statistically significant";positive;weak;not statistically significant
Seasonal;Station-based;Agricultural;PM25;Respiratory;0.5686274509803922;0.0138004376117254;18;"moderate positive association; statistically significant at p < 0.05";positive;strong;statistically significant
Seasonal;Station-based;Agricultural;PM25;Cardiocirculatory;0.1475748194014448;0.5589695952802587;18;"very weak positive association; not statistically significant";positive;weak;not statistically significant
Seasonal;ModAria;Overall;NO2;Respiratory;0.2790218790218791;0.0993604163056179;36;Weak positive, not statistically significant;positive;weak;not statistically significant
